"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value"
"CHEMBL4209441";"SOFNOBRUTINIB";"2.0";"498.52";"0";"3.41";"4b";"Cn1cc(Nc2nc(N)nc(-c3cccc(-n4ccc5cc(C6CC6)cc(F)c5c4=O)c3CO)n2)cn1";"IC50";"'='";"4.2";"nM";"8.38";"";"";"UO_0000065";"16.80";"0.31";"4.97";"6.12";"0";"CHEMBL4201924";"Inhibition of N-terminal DYKDDDDK tagged biotinylated activated human recombinant BTK using FITC-labeled Srctide peptide substrate by mobility shift assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5251";"Tyrosine-protein kinase BTK";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4196213";"1";"Scientific Literature";"J Med Chem";"2018";"None";"";"";""
"CHEMBL1873475";"IBRUTINIB";"4.0";"440.51";"0";"4.22";"Ibrutinib";"C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1";"IC50";"'='";"0.33";"nM";"9.48";"";"";"UO_0000065";"21.52";"0.39";"5.26";"9.56";"1";"CHEMBL4201925";"Inhibition of N-terminal DYKDDDDK tagged biotinylated unactivated human recombinant BTK using FITC-labeled Srctide peptide substrate by by mobility shift assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5251";"Tyrosine-protein kinase BTK";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4196213";"1";"Scientific Literature";"J Med Chem";"2018";"None";"";"";""
"CHEMBL4214068";"";"None";"580.69";"2";"5.62";"2f";"COc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2)nc(-c2cccc(NC(=O)c3ccc(C(C)(C)C)cc3)c2C)n1";"IC50";"'='";"80.0";"nM";"7.10";"";"";"UO_0000065";"12.22";"0.23";"1.48";"5.99";"0";"CHEMBL4201925";"Inhibition of N-terminal DYKDDDDK tagged biotinylated unactivated human recombinant BTK using FITC-labeled Srctide peptide substrate by by mobility shift assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5251";"Tyrosine-protein kinase BTK";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4196213";"1";"Scientific Literature";"J Med Chem";"2018";"None";"";"";""
"CHEMBL4204802";"";"None";"537.62";"1";"4.32";"3c";"Nc1nc(Nc2ccc(N3CCOCC3)cc2)nc(-c2cccc(NC(=O)c3ccc(C4CC4)cc3)c2CO)n1";"IC50";"'='";"2.1";"nM";"8.68";"";"";"UO_0000065";"16.14";"0.30";"4.36";"6.26";"0";"CHEMBL4201925";"Inhibition of N-terminal DYKDDDDK tagged biotinylated unactivated human recombinant BTK using FITC-labeled Srctide peptide substrate by by mobility shift assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5251";"Tyrosine-protein kinase BTK";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4196213";"1";"Scientific Literature";"J Med Chem";"2018";"None";"";"";""
"CHEMBL4212860";"";"None";"580.69";"1";"3.78";"3n";"CC1(C)Cc2cc3n(c2C1)CCN(c1cccc(-c2nc(N)nc(Nc4ccc(N5CCOCC5)cc4)n2)c1CO)C3=O";"IC50";"'='";"0.62";"nM";"9.21";"";"";"UO_0000065";"15.86";"0.29";"5.43";"6.84";"0";"CHEMBL4201925";"Inhibition of N-terminal DYKDDDDK tagged biotinylated unactivated human recombinant BTK using FITC-labeled Srctide peptide substrate by by mobility shift assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5251";"Tyrosine-protein kinase BTK";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4196213";"1";"Scientific Literature";"J Med Chem";"2018";"None";"";"";""
"CHEMBL4216862";"";"None";"524.56";"1";"4.21";"4c";"Nc1nc(Nc2cnn(C3CC3)c2)nc(-c2cccc(-n3ccc4cc(C5CC5)cc(F)c4c3=O)c2CO)n1";"IC50";"'='";"0.57";"nM";"9.24";"";"";"UO_0000065";"17.62";"0.32";"5.03";"6.76";"0";"CHEMBL4201925";"Inhibition of N-terminal DYKDDDDK tagged biotinylated unactivated human recombinant BTK using FITC-labeled Srctide peptide substrate by by mobility shift assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5251";"Tyrosine-protein kinase BTK";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4196213";"1";"Scientific Literature";"J Med Chem";"2018";"None";"";"";""
"CHEMBL4248271";"";"None";"427.50";"0";"4.46";"8";"C=CC(=O)N(C)c1cccc(-c2ccc(C(N)=O)c3[nH]c4cc(C(C)(C)O)ccc4c23)c1";"IC50";"'='";"23.0";"nM";"7.64";"";"";"UO_0000065";"17.87";"0.33";"3.18";"7.68";"0";"CHEMBL4235697";"Inhibition of BTK in human Ramos cells assessed as reduction in intracellular calcium level incubated for 1 hr measured for 180 secs by FLIPR assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Ramos";"None";"";"";"";"CHEMBL5251";"Tyrosine-protein kinase BTK";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4229517";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2018";"None";"";"";""
"CHEMBL4247992";"";"None";"347.42";"0";"3.70";"36";"C=CC(=O)N(C)c1cccc(-c2ccc(C(N)=O)c3[nH]c(C)c(C)c23)c1";"IC50";"'='";"0.23";"nM";"9.64";"";"";"UO_0000065";"27.74";"0.51";"5.94";"12.17";"0";"CHEMBL4235696";"Inhibition of recombinant human full-length His-tagged BTK cytoplasmic domain expressed in baculovirus expression system using fluorescence-labelled peptide as substrate measured after 60 mins by fluorescence assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5251";"Tyrosine-protein kinase BTK";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4229517";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2018";"None";"";"";""
"CHEMBL4241958";"";"None";"431.54";"0";"4.24";"11";"C=CC(=O)Nc1cccc(-c2ccc(C(N)=O)c3[nH]c4c(c23)CCC(C(C)(C)O)C4)c1C";"IC50";"'='";"0.21";"nM";"9.68";"";"";"UO_0000065";"22.43";"0.41";"5.44";"8.94";"0";"CHEMBL4235696";"Inhibition of recombinant human full-length His-tagged BTK cytoplasmic domain expressed in baculovirus expression system using fluorescence-labelled peptide as substrate measured after 60 mins by fluorescence assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5251";"Tyrosine-protein kinase BTK";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4229517";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2018";"None";"";"";""
"CHEMBL4238798";"";"None";"333.39";"0";"3.68";"29";"C=CC(=O)Nc1cccc(-c2ccc(C(N)=O)c3[nH]c(C)cc23)c1C";"IC50";"'='";"34.0";"nM";"7.47";"";"";"UO_0000065";"22.40";"0.41";"3.79";"8.49";"0";"CHEMBL4235697";"Inhibition of BTK in human Ramos cells assessed as reduction in intracellular calcium level incubated for 1 hr measured for 180 secs by FLIPR assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Ramos";"None";"";"";"";"CHEMBL5251";"Tyrosine-protein kinase BTK";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4229517";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2018";"None";"";"";""
"CHEMBL4248550";"";"None";"467.59";"0";"3.72";"19";"C=CS(=O)(=O)N(C)c1cccc(-c2ccc(C(N)=O)c3[nH]c4c(c23)CCC(C(C)(C)O)C4)c1";"IC50";"'='";"8.8";"nM";"8.06";"";"";"UO_0000065";"17.23";"0.33";"4.34";"6.92";"0";"CHEMBL4235697";"Inhibition of BTK in human Ramos cells assessed as reduction in intracellular calcium level incubated for 1 hr measured for 180 secs by FLIPR assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Ramos";"None";"";"";"";"CHEMBL5251";"Tyrosine-protein kinase BTK";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4229517";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2018";"None";"";"";""
"CHEMBL4643319";"";"None";"552.55";"1";"4.12";"33";"Cn1cc(-c2cc(F)cc(-n3ncc4cc(C(C)(C)C)cc(F)c4c3=O)c2CO)cc(NC(=O)[C@@H]2C[C@@H]2F)c1=O";"IC50";"'='";"37.0";"nM";"7.43";"";"";"UO_0000065";"13.45";"0.25";"3.31";"7.00";"0";"CHEMBL4622576";"Inhibition of BTK in human whole blood assessed as reduction in anti-IgM-stimulated CD69 expression preincubated for 1 hr followed by goat F(ab')2 anti-human IgM stimulation and measured after 18 hrs by FACS analysis";"B";"BAO_0000221";"tissue-based format";"Homo sapiens";"CHEMBL3638178";"Blood";"None";"None";"";"";"";"CHEMBL5251";"Tyrosine-protein kinase BTK";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4619817";"1";"Scientific Literature";"ACS Med Chem Lett";"2020";"None";"";"";""
"CHEMBL4087095";"";"None";"568.56";"1";"3.15";"17";"COCCC(=O)N1CCN[C@@H](c2nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c3c(N)nccn23)C1";"IC50";"'='";"377.0";"nM";"6.42";"";"";"UO_0000065";"11.30";"0.21";"3.27";"4.60";"0";"CHEMBL4057947";"Inhibition of recombinant full-length His6-tagged BTK (unknown origin) expressed in baculovirus infected Sf9 cells using biotinylated A5 peptide as substrate preincubated for 60 mins followed by substrate addition measured after 120 mins by LANCE TR-FRET assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5251";"Tyrosine-protein kinase BTK";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4052776";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2017";"None";"";"";""
"CHEMBL4079225";"";"None";"585.61";"1";"4.30";"15";"COCCC(=O)N1CCSC(c2nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c3c(N)nccn23)C1";"IC50";"'='";"6.6";"nM";"8.18";"";"";"UO_0000065";"13.97";"0.27";"3.88";"6.40";"0";"CHEMBL4057947";"Inhibition of recombinant full-length His6-tagged BTK (unknown origin) expressed in baculovirus infected Sf9 cells using biotinylated A5 peptide as substrate preincubated for 60 mins followed by substrate addition measured after 120 mins by LANCE TR-FRET assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5251";"Tyrosine-protein kinase BTK";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4052776";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2017";"None";"";"";""
"CHEMBL4097247";"";"None";"569.54";"1";"3.58";"14";"COCCC(=O)N1CCO[C@@H](c2nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c3c(N)nccn23)C1";"IC50";"'='";"3.3";"nM";"8.48";"";"";"UO_0000065";"14.89";"0.28";"4.90";"6.19";"0";"CHEMBL4057947";"Inhibition of recombinant full-length His6-tagged BTK (unknown origin) expressed in baculovirus infected Sf9 cells using biotinylated A5 peptide as substrate preincubated for 60 mins followed by substrate addition measured after 120 mins by LANCE TR-FRET assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5251";"Tyrosine-protein kinase BTK";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4052776";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2017";"None";"";"";""
"CHEMBL2057918";"";"None";"606.70";"1";"4.76";"RN-486; 3, 12";"CN1CCN(c2ccc(Nc3cc(-c4cccc(-n5ccc6cc(C7CC7)cc(F)c6c5=O)c4CO)cn(C)c3=O)nc2)CC1";"IC50";"'='";"7.0";"nM";"8.15";"";"";"UO_0000065";"13.44";"0.25";"3.39";"8.53";"0";"CHEMBL4152883";"Inhibition of BTK (unknown origin) assessed as reduction in TNF production";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5251";"Tyrosine-protein kinase BTK";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4152198";"1";"Scientific Literature";"Eur J Med Chem";"2018";"None";"";"";""
"CHEMBL4163691";"POSELTINIB";"2.0";"470.53";"0";"4.64";"HM-71224";"C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)nc3ccoc23)c1";"IC50";"'='";"651.95";"nM";"6.19";"";"";"UO_0000065";"13.15";"0.24";"1.55";"6.46";"0";"CHEMBL4152874";"Inhibition of BTK (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5251";"Tyrosine-protein kinase BTK";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4152198";"1";"Scientific Literature";"Eur J Med Chem";"2018";"None";"";"";""
"CHEMBL3953720";"";"None";"496.58";"0";"3.74";"10i";"C=CC(=O)Nc1cccc(-n2cnc3cnc(Nc4ccc(N5CCN(C(C)=O)C(C)C5)cc4)nc32)c1";"IC50";"'='";"0.5";"nM";"9.30";"";"";"UO_0000065";"18.73";"0.34";"5.56";"8.59";"0";"CHEMBL3864052";"Inhibition of recombinant human N-terminal His-tagged BTK expressed in baculovirus infected sf9 cells using poly(4:1 Glu,Tyr) as substrate by ADP-Glo kinase assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Sf9";"None";"";"";"";"CHEMBL5251";"Tyrosine-protein kinase BTK";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3862041";"1";"Scientific Literature";"ACS Med Chem Lett";"2016";"CHEMBL3308860";"";"";""
"CHEMBL4528929";"";"None";"571.70";"2";"5.89";"5d";"CCOC(=O)c1sc(-c2cccc(NC(=O)c3ccc(N(C)C)cc3)c2)nc1Nc1ccc(N2CCOCC2)cc1";"IC50";"'='";"4195.0";"nM";"5.38";"";"";"UO_0000065";"9.41";"0.18";"-0.51";"5.60";"0";"CHEMBL4360839";"Inhibition of human recombinant full length N-terminal His tagged BTK expressed in baculovirus infected Sf9 cells using poly (Glu,Tyr) 4:1 as substrate measured after 60 mins in presence of ATP by ADP-Glo kinase assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Sf9";"None";"";"";"";"CHEMBL5251";"Tyrosine-protein kinase BTK";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4359830";"1";"Scientific Literature";"Eur J Med Chem";"2019";"CHEMBL3308860";"";"";""
"CHEMBL3972467";"";"None";"540.64";"2";"6.93";"BDBM200804";"Cc1c(NC(=O)c2ccc(C(C)(C)C)cc2)cc(F)cc1-c1ncnc2[nH]c(C3=CCC4(CC3)OCCO4)cc12";"IC50";"'='";"110.0";"nM";"6.96";"";"356865";"UO_0000065";"12.87";"0.24";"0.03";"7.81";"0";"CHEMBL3887838";"Biochemical Enzyme Assay: The inhibitory activity of the present compounds against Btk was assessed in a biochemical enzyme assay. Assay plates in 384 well format were prepared with 8-point serial dilutions for the test compounds on a Thermo CatX workstation equipped with a Innovadyne Nanodrop Express. The assay plates were prepared by addition of 50 nl per well of compound solution in 90% DMSO. The kinase reactions were started by stepwise addition of 4.5 ul per well of peptide/ATP-solution (4 uM FITC-Ahx-TSELKKVVALYDYMPMNAND-NH2, 164 uM ATP) in kinase buffer (50 mM HEPES, pH 7.5, 1 mM DTT, 0.02% Tween20, 0.02% BSA, 0.6% DMSO, 10 mM beta-glycerophosphate, and 10 uM sodium orthovanadate, 18 mM MgCl2, 1 mM MnCl2) and 4.5 ul per well of enzyme solution (6.4 nM full-length human recombinant BTK) in kinase buffer. Kinase reactions were incubated at 30° C. for 60 minutes and subsequently terminated by addition of 16 ul per well of stop solution (100 mM HEPES pH 7.5, 5% DMSO, 0.1% Caliper coating reagent, 10 mM EDTA, and 0.015% Brij35). Kinase reactions were analyzed on a Caliper LC3000 workstation by separating phosphorylated and unphosphorylated peptides and kinase activities were calculated from the amounts of newly formed phospho-peptide. Inhibition data were calculated by comparison to control reactions without enzyme (100% inhibition) and without inhibitors (0% inhibition).";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5251";"Tyrosine-protein kinase BTK";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886469";"37";"BindingDB Database";"";"2016";"None";"";"";""
